source_irn,source_sku,source_invoice_link
IRNlZAVwrvYBlylrkwR,S2FEF8EFF2EH55184190,https://udaan.azureedge.net/document-receipt/rd75d7o7bh22s428onum.jpg
IRNwNReSW455KBdIQLq,SDE78EAF8Y480FF55CXC,https://udaan.azureedge.net/document-receipt/9sk3ubzm7qnh0pgdy0vr.jpg
IRNtZTIP4eUZNMjQNFR,SD33PE23DXETX240LPHK,https://udaan.azureedge.net/document-receipt/hl1ol53v88c7syznrjvq.jpg
IRNLWX6M4k7mmYSBl2D,SF5437FN3CN8SDT39C36,https://udaan.azureedge.net/document-receipt/012hjqm07dy3309kott7.jpg
IRNpfPojkv2lszShRis,S9NBA1B04672B201MD71,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg
IRNNeMKzkK1xE6bsUxq,SAF6ZDT57BB3BZPKCP0E,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNA9HF1YeRaBKjOjdF,S0210CB94M65ACF721GR,https://udaan.azureedge.net/document-receipt/6r4ocu7rh0btnlllk6ug.jpg
IRN1RjtxMyudP9pXj6Y,S7BD41170DQBA7D92452,https://udaan.azureedge.net/document-receipt/ln4q4hsp1i0z0r2uqmce.jpg
IRN81Bs4MCjnFxXoJ64,SX89E8EA548P02Z44VPC,https://udaan.azureedge.net/document-receipt/0ztl0i1ik363oebd9whw.jpg
IRNpfPojkv2lszShRis,S74E54T0369175D44DA3,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg
IRNCbHoV2jzhI7Szznd,S9X5Y40F49BA4E8B40F4,https://udaan.azureedge.net/document-receipt/p2pnrfogneg1515uif92.jpg
IRNy5agHTG4z5R7uS7O,S2Q4B9W3NQ525964561A,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRNNeMKzkK1xE6bsUxq,S1AACAP0N3BB540E555A,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNEhWYoyBUbX8K1xsS,SM0FBLF8S8932937174M,https://udaan.azureedge.net/document-receipt/vexvr54zsj0s55mlyds3.jpg
IRNNeMKzkK1xE6bsUxq,ST634594B644DF8ZB00D,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNKz3muiaRpO3X4inK,S60C4340G77A35F707BC,https://udaan.azureedge.net/document-receipt/u6bihh2fjx4vzrekpmoc.jpeg
IRNTvWWQOZP6YLc7iix,S4SD79EBC663SDAL4B77,https://udaan.azureedge.net/document-receipt/hfq34yi46mu1iwo0061t.jpg
IRNuhxgnhSzUqeKFsKg,SEVP1E0KY0440AB0FFBB,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRNOOhtnKe1eqqWKjhN,S8966AVF5Z19356222PE,https://udaan.azureedge.net/document-receipt/servai6b5dx13vllw14u.jpeg
IRNP769gT9QaAF3BLNP,S4CD2C785A1GC4776493,https://udaan.azureedge.net/document-receipt/z72ixods8u8ch4uls0a7.jpg
IRNwFSo18S2QoqVI3ZT,S6860WXADF6908E88DY9,https://udaan.azureedge.net/document-receipt/f87h0f7wlfwzckuf2e94.jpg
IRNVdCiH27BVzeRnAvF,S644B0XECA0AQ47FBB0B,https://udaan.azureedge.net/document-receipt/0ei7bl1thn2hbj84twfe.jpg
IRNEKV1814D39Oq1BG3,S0A59508A983C5B05A56,https://udaan.azureedge.net/document-receipt/eel4ey9ko0vyty2e7dac.jpg
IRNHJm2Vr9kYfczc3YN,SD38761ECAHGF86ABN64,https://udaan.azureedge.net/document-receipt/red7h6gzu214ikjlxucf.jpg
IRNQklm4RzFmTMRIZ45,SCCC85BAPD5XXFE35F45,https://udaan.azureedge.net/document-receipt/pfxww9rlo3smw6bw5ps3.jpg
IRN2SB9gSWxvSz0z8tc,S9S0A929EQE1S5AE250E,https://udaan.azureedge.net/document-receipt/gr6cprj6n9wjug65zcju.jpeg
IRN6Dzs42hTiY6omXlT,S05TNH60BYB30BB56620,https://udaan.azureedge.net/document-receipt/gjba3fskidtpgqh96uh0.jpg
IRNfeaT8yNAW8ikuZrm,S0210CB94M65ACF721GR,https://udaan.azureedge.net/document-receipt/xzpkw7y4qbpf4kb67q96.jpg
IRNVRixqj15KJglXWr0,SECDABB1DBD3XBA788A4,https://udaan.azureedge.net/document-receipt/z0sj7qodra92hkvzc25i.jpg
IRN0cOFFzJ4Wln3KwhI,SEE8Y7YET063D66F900T,https://udaan.azureedge.net/document-receipt/gqsdvlr7gj69ja9t5top.jpg
