source_irn,source_sku,source_invoice_link,apmc_check
IRNlZAVwrvYBlylrkwR,S2FEF8EFF2EH55184190,https://udaan.azureedge.net/document-receipt/rd75d7o7bh22s428onum.jpg,Yes
IRNwNReSW455KBdIQLq,SDE78EAF8Y480FF55CXC,https://udaan.azureedge.net/document-receipt/9sk3ubzm7qnh0pgdy0vr.jpg,No
IRNtZTIP4eUZNMjQNFR,SD33PE23DXETX240LPHK,https://udaan.azureedge.net/document-receipt/hl1ol53v88c7syznrjvq.jpg,No
IRNLWX6M4k7mmYSBl2D,SF5437FN3CN8SDT39C36,https://udaan.azureedge.net/document-receipt/012hjqm07dy3309kott7.jpg,No
IRNpfPojkv2lszShRis,S9NBA1B04672B201MD71,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg,No
IRNNeMKzkK1xE6bsUxq,SAF6ZDT57BB3BZPKCP0E,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg,No
IRNA9HF1YeRaBKjOjdF,S0210CB94M65ACF721GR,https://udaan.azureedge.net/document-receipt/6r4ocu7rh0btnlllk6ug.jpg,No
IRN1RjtxMyudP9pXj6Y,S7BD41170DQBA7D92452,https://udaan.azureedge.net/document-receipt/ln4q4hsp1i0z0r2uqmce.jpg,No
IRN81Bs4MCjnFxXoJ64,SX89E8EA548P02Z44VPC,https://udaan.azureedge.net/document-receipt/0ztl0i1ik363oebd9whw.jpg,No
IRNpfPojkv2lszShRis,S74E54T0369175D44DA3,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg,No
IRNCbHoV2jzhI7Szznd,S9X5Y40F49BA4E8B40F4,https://udaan.azureedge.net/document-receipt/p2pnrfogneg1515uif92.jpg,No
IRNy5agHTG4z5R7uS7O,S2Q4B9W3NQ525964561A,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg,No
IRNNeMKzkK1xE6bsUxq,S1AACAP0N3BB540E555A,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg,No
IRNEhWYoyBUbX8K1xsS,SM0FBLF8S8932937174M,https://udaan.azureedge.net/document-receipt/vexvr54zsj0s55mlyds3.jpg,No
